,maxA,MVDeriv,meanA,varA,medA,minA
41,-20.722893609988585,-0.00870410456759325,-2.654493605521438,-64.05183208320054,-0.9493420759214928,1.7294705128273424
42,-22.72925481482345,-0.009242664024743536,-3.3987422692014384,-67.02101881396912,-1.1973938535273767,2.230721228128348
43,-20.73744054134706,-0.008876282863535121,-2.5898405647489504,-59.489869668464614,-0.786709327959489,1.5184192477999083
44,-17.213819960412874,-0.008815656300505145,-3.5123764344274093,-56.36720367238759,-1.9609887902067111,0.6963813799044933
45,-19.570390852748112,-0.00883959259153059,-3.193308922298444,-60.25928895219197,-1.6587442887767452,0.721319999523673
46,-19.213361761996882,-0.009112014821098104,-3.449155027307608,-56.4793590560832,-1.9650625754571607,-0.7045706601102029
47,-16.05529472075109,-0.008934289768081806,-3.049675279211005,-49.77870744330413,-1.6224466340182584,0.3091939264421102
48,-19.37896103204142,-0.008854522039499425,-2.80088446845466,-54.889708217715196,-0.9476863311854729,0.6714269687127006
49,-20.75313673087033,-0.008810612775261307,-3.892216848998702,-60.36136751064891,-2.03290056338615,0.13755821931105228
50,-21.32576326503519,-0.00870782463638975,-2.896958077688952,-63.043200039286596,-0.7027651109629467,1.4422808142573613
51,-21.357834916041178,-0.008928108962965945,-3.4304456948719793,-61.92368005920778,-1.161553910562267,1.0148234530808633
52,-18.701383151155973,-0.008863115920221203,-2.866921459651085,-54.57192305227626,-1.3927485284551242,0.6759488867976895
53,-19.96625663307109,-0.008609037086698964,-3.8242799115975163,-59.89181250626061,-2.5329451562713494,0.5580755867519747
54,-19.321687493253577,-0.008614587596505323,-2.900847511882189,-61.836400570383326,-0.7819817641646409,1.0335636502390475
55,-20.723672753172515,-0.008788712145742417,-3.321450037214529,-64.49121357371327,-1.1408098928336798,1.4030648942883346
56,-19.70022203786825,-0.008347162806576413,-3.071731172646187,-60.286891659760066,-0.9823081837910657,1.053937230815725
57,-17.17371926443243,-0.008355823106430535,-3.2556716406158923,-57.161805100223724,-1.4858752999625082,1.4464058517241085
58,-18.56557347820779,-0.008548745278604636,-3.419991792274468,-57.81912765079651,-2.003325249175578,0.908107060701429
59,-20.00765216014835,-0.008699818334668895,-2.5020986866976784,-58.58980661208158,0.032860736102705346,0.6417530932196485
60,-20.487909397758575,-0.009193354066813667,-3.9390291533257056,-60.22609255881433,-2.7225440618136254,0.8029085493550054
61,-20.7538975377694,-0.008769249212238902,-2.897010193933234,-62.122143306212195,-0.4022803953715659,1.4273775547528755
62,-20.976893768869164,-0.009219015049411248,-3.410194629342369,-64.03467940415977,-1.5031627847385671,1.662933453576306
63,-21.20465989800713,-0.00893113777761448,-2.6816677379681835,-62.22090662995814,-1.1617021337733,1.3283423453866856
64,-20.581941779183012,-0.00910213604368112,-3.69084045318788,-64.55776524244234,-2.0298590118954714,1.654007666928127
65,-21.344704634053233,-0.00888744097891847,-2.5658053965519354,-69.84631199179445,-0.41031874747348596,4.175982750835731
66,-20.443529252263776,-0.009095371187356826,-3.589290702547201,-62.88361038962212,-2.322095507060501,1.4074549170039283
67,-19.11937697472998,-0.008868730496151788,-2.475088539803222,-58.30713732115862,-0.4808255963115009,1.0649336419541244
68,-20.213236646801057,-0.008873914307924216,-3.8934705948117774,-60.904991545152484,-2.29434306794815,0.614020360795358
69,-20.689861318403295,-0.009044950439234086,-2.728585022199999,-60.98004925283221,-0.3872749591188924,1.1344097403317868
70,-18.8769569718725,-0.009039177425451536,-3.5903230126589936,-58.08111496335921,-2.0389071854610137,0.8753525245995188
71,-19.49906011358364,-0.008808765572142831,-2.366345466171987,-57.870563319400496,-0.10763414724955211,0.7009686100557326
72,-20.180364501563965,-0.00908456309376916,-3.906460365340111,-62.01485887773804,-2.3783141513093877,1.2949145241177247
73,-19.207570947929828,-0.008933471110893414,-2.560591933801174,-57.92036166238511,-0.44257451085837474,0.6561331746068557
74,-20.01617300805786,-0.009164310979350762,-3.690799036530489,-57.612581003453855,-2.187167659385885,0.5989814513079983
75,-18.990548533454383,-0.009139519320139879,-2.8159634028538427,-54.84620703235213,-0.9542947022418211,0.08926267441406255
76,-18.45270602077821,-0.009083999321175113,-2.874131411934062,-54.95605717300879,-1.1573124272455537,0.8554315605312945
77,-19.97805419191792,-0.009117770755618291,-3.6006244187231875,-56.9555667236744,-2.147896642491043,0.5356903169182257
78,-19.892572734031482,-0.008680482329584113,-2.869417486816623,-58.95704018040204,-0.673007598927347,0.6504147602997241
79,-20.927636756613712,-0.008924732221815074,-3.331225747945137,-60.005444527815335,-1.3423306129285777,0.9282485783945962
80,-18.38527218114995,-0.008995843178707252,-2.956521409817624,-52.75748760047367,-1.788097010215683,0.40039663793937663
